Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,5.740000,5.780000,5.530000,5.660000,5.660000,17522976
2018-09-30,5.720000,5.850000,5.510000,5.740000,5.740000,30234990
2018-09-29,5.750000,5.950000,5.330000,5.720000,5.720000,45211664
2018-09-28,5.760000,5.830000,5.450000,5.750000,5.750000,22807230
2018-09-27,5.820000,6.050000,5.650000,5.760000,5.760000,51885357
2018-09-26,5.550000,5.970000,5.350000,5.820000,5.820000,40266862
2018-09-25,5.420000,5.780000,5.240000,5.550000,5.550000,36419359
2018-09-24,5.670000,5.670000,5.000000,5.420000,5.420000,66871829
2018-09-23,6.030000,6.040000,5.590000,5.670000,5.670000,32937405
2018-09-22,5.940000,6.160000,5.820000,6.030000,6.030000,25650945
2018-09-21,6.190000,6.310000,5.780000,5.940000,5.940000,41818916
2018-09-20,5.770000,6.220000,5.640000,6.190000,6.190000,77681128
2018-09-19,5.250000,5.950000,5.180000,5.770000,5.770000,52380313
2018-09-18,5.060000,5.370000,4.910000,5.250000,5.250000,39164598
2018-09-17,4.840000,5.270000,4.760000,5.060000,5.060000,52279212
2018-09-16,5.410000,5.480000,4.650000,4.840000,4.840000,64028118
2018-09-15,5.340000,5.490000,5.200000,5.410000,5.410000,17810391
2018-09-14,5.230000,5.530000,5.210000,5.340000,5.340000,22094880
2018-09-13,5.390000,5.540000,5.130000,5.230000,5.230000,41815442
2018-09-12,4.940000,5.550000,4.930000,5.390000,5.390000,60336501
2018-09-11,4.990000,5.000000,4.770000,4.940000,4.940000,28426417
2018-09-10,5.030000,5.090000,4.730000,4.990000,4.990000,30773479
2018-09-09,4.940000,5.120000,4.880000,5.030000,5.030000,23352370
2018-09-08,4.740000,5.170000,4.660000,4.940000,4.940000,38739892
2018-09-07,5.060000,5.150000,4.610000,4.740000,4.740000,28017187
2018-09-06,5.230000,5.330000,4.910000,5.060000,5.060000,49070740
2018-09-05,5.160000,5.240000,4.840000,5.230000,5.230000,72797488
2018-09-04,6.480000,6.600000,5.130000,5.160000,5.160000,112472814
2018-09-03,6.470000,6.660000,6.320000,6.480000,6.480000,42802120
2018-09-02,6.640000,6.730000,6.370000,6.470000,6.470000,33022443
2018-09-01,6.660000,6.700000,6.320000,6.640000,6.640000,43898493
2018-08-31,6.400000,6.830000,6.400000,6.660000,6.660000,65690042
2018-08-30,6.070000,6.490000,5.940000,6.400000,6.400000,57318586
2018-08-29,6.130000,6.270000,5.750000,6.070000,6.070000,59816307
2018-08-28,5.910000,6.500000,5.790000,6.130000,6.130000,92876086
2018-08-27,5.380000,6.040000,5.300000,5.910000,5.910000,63731634
2018-08-26,4.950000,5.430000,4.910000,5.380000,5.380000,45582267
2018-08-25,5.040000,5.060000,4.820000,4.950000,4.950000,17478057
2018-08-24,5.050000,5.070000,4.910000,5.040000,5.040000,16613047
2018-08-23,4.900000,5.120000,4.770000,5.050000,5.050000,37612351
2018-08-22,4.710000,4.950000,4.670000,4.900000,4.900000,27773012
2018-08-21,4.900000,5.360000,4.500000,4.710000,4.710000,70400397
2018-08-20,4.700000,4.970000,4.660000,4.900000,4.900000,33933438
2018-08-19,5.290000,5.350000,4.660000,4.700000,4.700000,48054932
